MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RotatableBonds,NumAromaticAtoms,NumSP2Atoms,NumC,NumN,NumO,NumS,NumF,NumCl,NumBr,Label
241.25,1.5511,2,4,74.58,3,12,18,13,3,2,0,0,0,0,0
337.375,3.89408,1,4,79.55,7,12,19,20,1,4,0,0,0,0,0
305.334,1.7807,2,5,93.89,2,6,14,15,3,4,0,0,0,0,0
252.101,0.3472,2,3,68.96,5,6,9,8,3,2,0,0,2,0,0
272.348,3.30248,1,4,64.33,3,6,12,16,2,2,0,0,0,0,0
256.305,3.03218,2,4,73.12,4,6,12,15,2,2,0,0,0,0,0
302.33,3.84828,2,5,73.12,4,11,17,15,2,2,1,1,0,0,0
284.34,3.70918,2,5,73.12,4,11,17,15,2,2,1,0,0,0,0
340.448,5.00668,2,5,73.12,4,11,17,19,2,2,1,0,0,0,0
341.436,4.40168,2,6,86.01,4,11,17,18,3,2,1,0,0,0,0
336.395,3.73518,2,6,98.9,4,12,18,19,4,2,0,0,0,0,0
323.396,4.27328,3,4,88.91,4,11,17,19,3,2,0,0,0,0,0
324.38,4.53818,2,4,86.26,3,11,17,19,2,3,0,0,0,0,0
284.674,1.2503,2,3,67.43,1,6,13,12,2,3,0,1,1,0,0
329.125,1.4064,2,3,67.43,1,6,13,12,2,3,0,1,0,1,0
254.282,1.9029,0,5,53.99,0,0,3,13,0,5,0,0,0,0,0
163.201,1.61998,0,3,40.86,1,7,8,8,1,1,1,0,0,0,0
231.167,1.43656,2,6,131.18,2,6,13,10,3,4,0,0,0,0,0
268.309,2.1489,0,5,53.99,0,0,3,14,0,5,0,0,0,0,0
